id:ID,gener,par1,par2,year:int,:LABEL
"0002405C","1","SFS150","6/8","2000","Plant"
"0002408A","1","SFS150","6/8","2000","Plant"
"0002408B","1","SFS150","6/8","2000","Plant"
"0002408D","1","SFS150","6/8","2000","Plant"
"0002413C","1","SFS150","6/8","2000","Plant"
"0002427A","1","SFS150","6/8","2000","Plant"
"0002427B","1","SFS150","6/8","2000","Plant"
"0002427C","1","SFS150","6/8","2000","Plant"
"0002427D","1","SFS150","6/8","2000","Plant"
"0002427E","1","SFS150","6/8","2000","Plant"
"0002433A","1","SFS150","6/8","2000","Plant"
"0002433B","1","SFS150","6/8","2000","Plant"
"0002433C","1","SFS150","6/8","2000","Plant"
"0002433D","1","SFS150","6/8","2000","Plant"
"0002434A","1","SFS150","6/8","2000","Plant"
"0002434B","1","SFS150","6/8","2000","Plant"
"0002434C","1","SFS150","6/8","2000","Plant"
"0002434D","1","SFS150","6/8","2000","Plant"
"0002434E","1","SFS150","6/8","2000","Plant"
"0002434F","1","SFS150","6/8","2000","Plant"
"0002442D","1","SFS150","6/8","2000","Plant"
"0002444A","1","SFS150","6/8","2000","Plant"
"0002444B","1","SFS150","6/8","2000","Plant"
"0002451A","1","SFS150","6/8","2000","Plant"
"0002451B","1","SFS150","6/8","2000","Plant"
"0002451D","1","SFS150","6/8","2000","Plant"
"0002453","1","SFS150","6/8","2000","Plant"
"0002464A","1","SFS150","6/8","2000","Plant"
"0002464B","1","SFS150","6/8","2000","Plant"
"0002464C","1","SFS150","6/8","2000","Plant"
"0002464D","1","SFS150","6/8","2000","Plant"
"0002473","1","SFS150","6/8","2000","Plant"
"0002476B","1","SFS150","6/8","2000","Plant"
"0002476C","1","SFS150","6/8","2000","Plant"
"0002481A","1","TL1","10/3","2000","Plant"
"0002481B","1","TL1","10/3","2000","Plant"
"0002481C","1","TL1","10/3","2000","Plant"
"0002481D","1","TL1","10/3","2000","Plant"
"0002485A","1","TL1","10/3","2000","Plant"
"0002485B","1","TL1","10/3","2000","Plant"
"0002487B","1","TL1","10/3","2000","Plant"
"0002487C","1","TL1","10/3","2000","Plant"
"0002505B","1","TL1","10/3","2000","Plant"
"0002511A","1","TL1","10/3","2000","Plant"
"0002511B","1","TL1","10/3","2000","Plant"
"0002511C","1","TL1","10/3","2000","Plant"
"0002531A","1","PC110","10/3","2000","Plant"
"0002531B","1","PC110","10/3","2000","Plant"
"0002531C","1","PC110","10/3","2000","Plant"
"0002538A","1","PC110","10/3","2000","Plant"
"0002538B","1","PC110","10/3","2000","Plant"
"0002538C","1","PC110","10/3","2000","Plant"
"0002538D","1","PC110","10/3","2000","Plant"
"0002538E","1","PC110","10/3","2000","Plant"
"0002544B","1","PC110","10/3","2000","Plant"
"0002591","1","SFS150","6/8","2000","Plant"
"0002593A","1","SFS150","6/8","2000","Plant"
"0002603A","1","SFS150","6/8","2000","Plant"
"0002614B","1","SFS150","6/8","2000","Plant"
"0002616C","1","SFS150","6/8","2000","Plant"
"0002616D","1","SFS150","6/8","2000","Plant"
"0002617B","1","SFS150","6/8","2000","Plant"
"0002617C","1","SFS150","6/8","2000","Plant"
"0002617D","1","SFS150","6/8","2000","Plant"
"0002618A","1","SFS150","6/8","2000","Plant"
"0002619A","1","SFS150","6/8","2000","Plant"
"0002619B","1","SFS150","6/8","2000","Plant"
"0002619C","1","SFS150","6/8","2000","Plant"
"0002619D","1","SFS150","6/8","2000","Plant"
"0002619E","1","SFS150","6/8","2000","Plant"
"0002623A","1","SFS150","6/8","2000","Plant"
"0002625B","1","SFS150","6/8","2000","Plant"
"0002626A","1","SFS150","6/8","2000","Plant"
"0002627A","1","SFS150","6/8","2000","Plant"
"0002627C","1","SFS150","6/8","2000","Plant"
"0002627D","1","SFS150","6/8","2000","Plant"
"0002628A","1","SFS150","6/8","2000","Plant"
"0002629B","1","SFS150","6/8","2000","Plant"
"0002635B","1","TL1","10/3","2000","Plant"
"0002636A","1","TL1","10/3","2000","Plant"
"0002638A","1","TL1","10/3","2000","Plant"
"0002643C","1","TL1","10/3","2000","Plant"
"0002648B","1","TL1","10/3","2000","Plant"
"0002655A","1","TL1","10/3","2000","Plant"
"0002655B","1","TL1","10/3","2000","Plant"
"0002655C","1","TL1","10/3","2000","Plant"
"0002656A","1","TL1","10/3","2000","Plant"
"0002656B","1","TL1","10/3","2000","Plant"
"0002657A","1","TL1","10/3","2000","Plant"
"0002657B","1","TL1","10/3","2000","Plant"
"0002664A","1","TL1","10/3","2000","Plant"
"0002664B","1","TL1","10/3","2000","Plant"
"0002669B","1","TL1","10/3","2000","Plant"
"0002672A","1","TL1","10/3","2000","Plant"
