id	year	month	rainfall	date
477	2011	Sep	318.9	2011-09-01
478	2011	Oct	238	2011-10-01
479	2011	Nov	327	2011-11-01
480	2011	Dec	177	2011-12-01
481	2010	Jan	123.5	2010-01-01
482	2010	Feb	190	2010-02-01
483	2010	Mar	205	2010-03-01
484	2010	Apr	547	2010-04-01
485	2010	May	253.3	2010-05-01
486	2010	Jun	277	2010-06-01
487	2010	Jul	116	2010-07-01
488	2010	Aug	139.5	2010-08-01
489	2010	Sep	278.5	2010-09-01
490	2010	Oct	193.4	2010-10-01
491	2010	Nov	65.5	2010-11-01
492	2010	Dec	213.5	2010-12-01
493	2009	Jan	153	2009-01-01
494	2009	Feb	72	2009-02-01
495	2009	Mar	89.5	2009-03-01
496	2009	Apr	386.5	2009-04-01
497	2009	May	200.2	2009-05-01
498	2009	Jun	169.5	2009-06-01
499	2009	Jul	46.5	2009-07-01
500	2009	Aug	184.7	2009-08-01
501	2009	Sep	166.5	2009-09-01
502	2009	Oct	167.5	2009-10-01
503	2009	Nov	92	2009-11-01
504	2009	Dec	245.5	2009-12-01
505	2008	Jan	60.5	2008-01-01
506	2008	Feb	44.5	2008-02-01
507	2008	Mar	325.5	2008-03-01
508	2008	Apr	341.5	2008-04-01
509	2008	May	310	2008-05-01
510	2008	Jun	166	2008-06-01
511	2008	Jul	205.5	2008-07-01
512	2008	Aug	287	2008-08-01
513	2008	Sep	135	2008-09-01
514	2008	Oct	251	2008-10-01
515	2008	Nov	204	2008-11-01
516	2008	Dec	12	2008-12-01
517	2007	Jan	213	2007-01-01
518	2007	Feb	247.5	2007-02-01
519	2007	Mar	173	2007-03-01
520	2007	Apr	267.5	2007-04-01
521	2007	May	387.5	2007-05-01
522	2007	Jun	221	2007-06-01
523	2007	Jul	248	2007-07-01
524	2007	Aug	149.6	2007-08-01
525	2007	Sep	215	2007-09-01
526	2007	Oct	63.5	2007-10-01
527	2007	Nov	118.7	2007-11-01
528	2007	Dec	72	2007-12-01
529	2006	Jan	139	2006-01-01
530	2006	Feb	181	2006-02-01
531	2006	Mar	375	2006-03-01
532	2006	Apr	515.5	2006-04-01
533	2006	May	181.1	2006-05-01
534	2006	Jun	348.5	2006-06-01
535	2006	Jul	83	2006-07-01
536	2006	Aug	70.8	2006-08-01
537	2006	Sep	211.7	2006-09-01
538	2006	Oct	117	2006-10-01
539	2006	Nov	393	2006-11-01
540	2006	Dec	511.5	2006-12-01
541	2005	Jan	201	2005-01-01
542	2005	Feb	145.5	2005-02-01
543	2005	Mar	303	2005-03-01
544	2005	Apr	254.5	2005-04-01
545	2005	May	350.5	2005-05-01
546	2005	Jun	299	2005-06-01
547	2005	Jul	96.5	2005-07-01
548	2005	Aug	184	2005-08-01
549	2005	Sep	149.5	2005-09-01
550	2005	Oct	164	2005-10-01
551	2005	Nov	56	2005-11-01
552	2005	Dec	18	2005-12-01
553	2004	Jan	237.5	2004-01-01
554	2004	Feb	197	2004-02-01
555	2004	Mar	63.5	2004-03-01
556	2004	Apr	59.5	2004-04-01
557	2004	May	250	2004-05-01
558	2004	Jun	88.5	2004-06-01
559	2004	Jul	375.5	2004-07-01
560	2004	Aug	250	2004-08-01
561	2004	Sep	219.5	2004-09-01
562	2004	Oct	209	2004-10-01
563	2004	Nov	149.5	2004-11-01
564	2004	Dec	153	2004-12-01
565	2003	Jan	127.5	2003-01-01
566	2003	Feb	35	2003-02-01
567	2003	Mar	164.2	2003-03-01
568	2003	Apr	273.5	2003-04-01
569	2003	May	533	2003-05-01
570	2003	Jun	281.5	2003-06-01
571	2003	Jul	148	2003-07-01
572	2003	Aug	219	2003-08-01
573	2003	Sep	245	2003-09-01
574	2003	Oct	265.5	2003-10-01
575	2003	Nov	148	2003-11-01
576	2003	Dec	189.5	2003-12-01
577	2002	Jan	263.5	2002-01-01
578	2002	Feb	85	2002-02-01
579	2002	Mar	343	2002-03-01
580	2002	Apr	426	2002-04-01
581	2002	May	535	2002-05-01
582	2002	Jun	118.5	2002-06-01
583	2002	Jul	143	2002-07-01
584	2002	Aug	137.5	2002-08-01
585	2002	Sep	141	2002-09-01
586	2002	Oct	178.5	2002-10-01
587	2002	Nov	218.5	2002-11-01
588	2002	Dec	244.5	2002-12-01
589	2001	Jan	429.5	2001-01-01
590	2001	Feb	56	2001-02-01
591	2001	Mar	183.5	2001-03-01
592	2001	Apr	379.2	2001-04-01
593	2001	May	332	2001-05-01
594	2001	Jun	395.3	2001-06-01
595	2001	Jul	311.5	2001-07-01
596	2001	Aug	154.5	2001-08-01
597	2001	Sep	250.5	2001-09-01
598	2001	Oct	320.5	2001-10-01
599	2001	Nov	157	2001-11-01
600	2001	Dec	85	2001-12-01
601	2000	Jan	51	2000-01-01
602	2000	Feb	52	2000-02-01
603	2000	Mar	200	2000-03-01
604	2000	Apr	156.5	2000-04-01
605	2000	May	213.5	2000-05-01
606	2000	Jun	203.5	2000-06-01
607	2000	Jul	250.5	2000-07-01
608	2000	Aug	270.5	2000-08-01
609	2000	Sep	189.5	2000-09-01
610	2000	Oct	177.5	2000-10-01
611	2000	Nov	168.5	2000-11-01
612	2000	Dec	246.3	2000-12-01
613	1999	Jan	219	1999-01-01
614	1999	Feb	21.5	1999-02-01
615	1999	Mar	478.2	1999-03-01
616	1999	Apr	397.6	1999-04-01
617	1999	May	394.2	1999-05-01
618	1999	Jun	124.5	1999-06-01
619	1999	Jul	115.5	1999-07-01
620	1999	Aug	226.5	1999-08-01
621	1999	Sep	308.5	1999-09-01
622	1999	Oct	242.3	1999-10-01
623	1999	Nov	208.6	1999-11-01
624	1999	Dec	131.1	1999-12-01
625	1998	Jan	193.9	1998-01-01
626	1998	Feb	223.5	1998-02-01
627	1998	Mar	138	1998-03-01
628	1998	Apr	459	1998-04-01
629	1998	May	394	1998-05-01
630	1998	Jun	215.6	1998-06-01
631	1998	Jul	112	1998-07-01
632	1998	Aug	121.6	1998-08-01
633	1998	Sep	186.9	1998-09-01
634	1998	Oct	246.3	1998-10-01
635	1998	Nov	188	1998-11-01
636	1998	Dec	41	1998-12-01
637	1997	Jan	170	1997-01-01
638	1997	Feb		1997-02-01
639	1997	Mar	121	1997-03-01
640	1997	Apr	434	1997-04-01
641	1997	May	156	1997-05-01
642	1997	Jun	121	1997-06-01
643	1997	Jul	231.1	1997-07-01
644	1997	Aug	182.9	1997-08-01
645	1997	Sep	12.9	1997-09-01
646	1997	Oct	339.7	1997-10-01
647	1997	Nov	387.5	1997-11-01
648	1997	Dec	357.7	1997-12-01
649	1996	Jan	153	1996-01-01
650	1996	Feb	336	1996-02-01
651	1996	Mar	363	1996-03-01
652	1996	Apr	460	1996-04-01
653	1996	May	502	1996-05-01
654	1996	Jun	191.5	1996-06-01
655	1996	Jul	244	1996-07-01
656	1996	Aug	122	1996-08-01
657	1996	Sep	451.5	1996-09-01
658	1996	Oct	278.8	1996-10-01
659	1996	Nov	222.5	1996-11-01
660	1996	Dec	143	1996-12-01
661	1995	Jan	55.5	1995-01-01
662	1995	Feb	185.2	1995-02-01
663	1995	Mar	280	1995-03-01
664	1995	Apr	280.5	1995-04-01
665	1995	May	364.4	1995-05-01
666	1995	Jun	225.1	1995-06-01
667	1995	Jul	209.7	1995-07-01
668	1995	Aug	126.7	1995-08-01
669	1995	Sep	215	1995-09-01
670	1995	Oct	302	1995-10-01
671	1995	Nov	285.6	1995-11-01
672	1995	Dec	188	1995-12-01
673	1994	Jan	25.7	1994-01-01
674	1994	Feb	156	1994-02-01
675	1994	Mar	224.9	1994-03-01
676	1994	Apr	475.8	1994-04-01
677	1994	May	409.5	1994-05-01
678	1994	Jun	204	1994-06-01
679	1994	Jul	229.3	1994-07-01
680	1994	Aug	249.2	1994-08-01
681	1994	Sep	250.4	1994-09-01
682	1994	Oct	263.6	1994-10-01
683	1994	Nov	376.8	1994-11-01
684	1994	Dec	52.5	1994-12-01
685	1993	Jan	263	1993-01-01
686	1993	Feb	221.7	1993-02-01
687	1993	Mar	33.7	1993-03-01
688	1993	Apr	119.1	1993-04-01
689	1993	May	336.9	1993-05-01
690	1993	Jun	316.7	1993-06-01
691	1993	Jul	72.4	1993-07-01
692	1993	Aug	83.6	1993-08-01
693	1993	Sep	57.1	1993-09-01
694	1993	Oct	123.6	1993-10-01
695	1993	Nov	76.2	1993-11-01
696	1993	Dec	95.3	1993-12-01
697	2021	Jan	112.5	2021-01-01
698	2021	Feb	99.5	2021-02-01
699	2021	Mar	173	2021-03-01
700	2021	Apr	357.5	2021-04-01
701	2021	May	198.5	2021-05-01
702	2021	Jun	106.2	2021-06-01
703	2021	Jul	96.6	2021-07-01
704	2021	Aug	113.5	2021-08-01
705	2021	Sep	185	2021-09-01
706	2021	Oct	160.5	2021-10-01
707	2021	Nov	163.5	2021-11-01
708	2021	Dec	75	2021-12-01
709	2020	Jan	201.5	2020-01-01
710	2020	Feb	97	2020-02-01
711	2020	Mar	256	2020-03-01
712	2020	Apr	254.5	2020-04-01
713	2020	May	135	2020-05-01
714	2020	Jun	104.5	2020-06-01
715	2020	Jul	107	2020-07-01
716	2020	Aug	90.6	2020-08-01
717	2020	Sep	194.3	2020-09-01
718	2020	Oct	123.8	2020-10-01
719	2020	Nov	240	2020-11-01
720	2020	Dec	36.5	2020-12-01
721	2019	Jan	24	2019-01-01
722	2019	Feb	67.55	2019-02-01
723	2019	Mar	106	2019-03-01
724	2019	Apr	183.5	2019-04-01
725	2019	May	214	2019-05-01
726	2019	Jun	233.5	2019-06-01
727	2019	Jul	87.5	2019-07-01
728	2019	Aug	95.5	2019-08-01
729	2019	Sep	192	2019-09-01
730	2019	Oct	204.5	2019-10-01
731	2019	Nov	292.5	2019-11-01
732	2019	Dec	230	2019-12-01
733	2018	Jan	156.5	2018-01-01
