	ID	Female_parent	Male_parent
41241	2106203a	9701987b	0902216
41242	2106203b	9701987b	0902216
41243	2106204a	9701987b	0902216
41244	2106204b	9701987b	0902216
41245	2106207a	9701987b	0902216
41246	2106214b	9701987b	0902216
41247	2106218a	9701987b	0902216
41248	2106226c	9701987b	0902216
41249	2106233b	9701987b	0902216
41250	2106235a	9701987b	0902216
41251	2106235b	9701987b	0902216
41252	2106236b	9701987b	0902216
41253	2106237b	9701987b	0902216
41254	2106243a	9701987b	0902216
41255	2106249a	9701987b	0902216
41256	2106249b	9701987b	0902216
41257	2106267a	9903666a	0903256b
41258	2106267b	9903666a	0903256b
41259	2106267c	9903666a	0903256b
41260	2106267d	9903666a	0903256b
41261	2106267e	9903666a	0903256b
41262	2106335a	0702235b	0706809
41263	2106335b	0702235b	0706809
41264	2106343a	0702235b	0706809
41265	2106343b	0702235b	0706809
41266	2106354a	0000014b	0403128b
41267	2106367c	0000014b	0403128b
41268	2106368b	0000014b	0403128b
41269	2106378b	0000014b	0403128b
41270	2106378c	0000014b	0403128b
41271	2106383a	9701987b	0902216
41272	2106383b	9701987b	0902216
41273	2106388a	9701987b	0902216
41274	2106388b	9701987b	0902216
41275	2106389a	9701987b	0902216
41276	2106390c	9701987b	0902216
41277	2106392b	9701987b	0902216
41278	2106400b	9701987b	0902216
41279	2106404c	0702235b	0706809
41280	2106421b	0702235b	0706809
41281	2106441a	9701987b	0405071
41282	2106443a	9701987b	0405071
41283	2106446a	9701987b	0405071
41284	2106446c	9701987b	0405071
41285	2106448a	9701987b	0405071
41286	2106448b	9701987b	0405071
41287	2106448c	9701987b	0405071
41288	2106448d	9701987b	0405071
41289	2106448e	9701987b	0405071
41290	2106456b	9701987b	0902216
41291	2106473b	0704524b	0906952b
41292	2106480a	0704524b	0906952b
41293	2106480b	0704524b	0906952b
41294	2106481b	0704524b	0906952b
41295	2106481d	0704524b	0906952b
41296	2106484a	0704524b	0906952b
41297	2106484c	0704524b	0906952b
41298	2106488d	0704524b	0906952b
41299	2106522a	9701987b	0405071
41300	2106523a	9701987b	0405071
41301	2106523b	9701987b	0405071
41302	2106523c	9701987b	0405071
41303	2106523d	9701987b	0405071
41304	2106528a	9701987b	0405071
41305	2106528b	9701987b	0405071
41306	2106528c	9701987b	0405071
41307	2106530a	9701987b	0405071
41308	2106530b	9701987b	0405071
41309	2106531a	9701987b	0405071
41310	2106534a	9701987b	0405071
41311	2106534b	9701987b	0405071
41312	2106548b	9701987b	0405071
41313	2106549a	9701987b	0405071
41314	2106549b	9701987b	0405071
41315	2106602a	9702631	0405071
41316	2106602b	9702631	0405071
41317	2106610a	9702631	0405071
41318	2106610b	9702631	0405071
41319	2106612b	9702631	0405071
41320	2106612c	9702631	0405071
41321	2106632a	0000014b	0403128b
41322	2106662b	9903666a	0903256b
41323	2106678a	9701987b	0405071
41324	2106678b	9701987b	0405071
41325	2106682a	9701987b	0405071
41326	2106682b	9701987b	0405071
41327	2106683a	9701987b	0405071
41328	2106683b	9701987b	0405071
41329	2106699a	9701987b	0405071
41330	2106699b	9701987b	0405071
41331	2106700a	9701987b	0405071
41332	2106723a	9903666a	0504057a
41333	2106723b	9903666a	0504057a
41334	2106740a	9701987b	0405071
41335	2106740b	9701987b	0405071
